"id","name","code","slug","state_id","country_id","zipcode"
"res_city_74","Thành phố Bến Tre","VN-50_Cben-tre","ben-tre","VN-50","VN","86000"
"res_city_75","Thành phố Huế","VN-26_Chue","hue","VN-26","VN","49000"
"res_city_76","Thành phố Hà Giang","VN-03_Cha-giang","ha-giang","VN-03","VN","95000"
"res_city_77","Thành phố Trà Vinh","VN-51_Ctra-vinh","tra-vinh","VN-51","VN","87000"
"res_city_78","Thành phố Tân An","VN-41_Ctan-an","tan-an","VN-41","VN","82000"
"res_city_79","Thành Phố Bắc Kạn","VN-53_Cbac-kan","bac-kan","VN-53","VN","23000"
"res_city_80","Thành phố Đồng Xoài","VN-58_Cdong-xoai","dong-xoai","VN-58","VN","67000"
"res_city_81","Tỉnh Vĩnh Phúc","VN-70_C0","0","VN-70","VN","15000"
"res_city_82","Tỉnh Ninh Bình","VN-18_C0","0","VN-18","VN","08000"
"res_city_83","Tỉnh Cà Mau","VN-59_C0","0","VN-59","VN","98000"
"res_city_84","Tỉnh Nghệ An","VN-22_C0","0","VN-22","VN","43000"
"res_city_85","Tỉnh Vĩnh Long","VN-49_C0","0","VN-49","VN","85000"
"res_city_86","Tỉnh Quảng Bình","VN-24_C0","0","VN-24","VN","47000"
"res_city_87","Thành phố Hải Phòng","VN-HP_C0","0","VN-HP","VN","04000"
"res_city_88","Thủ đô Hà Nội","VN-HN_C0","0","VN-HN","VN","10000"
"res_city_89","Tỉnh Đồng Tháp","VN-45_C0","0","VN-45","VN","81000"
"res_city_90","Tỉnh Lai Châu","VN-01_C0","0","VN-01","VN","30000"
"res_city_91","Tỉnh Hưng Yên","VN-66_C0","0","VN-66","VN","17000"
"res_city_92","Tỉnh Lạng Sơn","VN-09_C0","0","VN-09","VN","25000"
"res_city_93","Tỉnh Đồng Nai","VN-39_C0","0","VN-39","VN","76000"
"res_city_94","Tỉnh Tiền Giang","VN-46_C0","0","VN-46","VN","84000"
"res_city_95","Tỉnh Phú Yên","VN-32_C0","0","VN-32","VN","56000"
"res_city_96","Tỉnh Yên Bái","VN-06_C0","0","VN-06","VN","33000"
"res_city_97","Tỉnh Bình Dương","VN-57_C0","0","VN-57","VN","75000"
"res_city_98","Tỉnh Quảng Nam","VN-27_C0","0","VN-27","VN","51000"
"res_city_99","Tỉnh Điện Biên","VN-71_C0","0","VN-71","VN","32000"
"res_city_100","Tỉnh Kon Tum","VN-28_C0","0","VN-28","VN","60000"
"res_city_101","Tỉnh Bạc Liêu","VN-55_C0","0","VN-55","VN","97000"
"res_city_102","Tỉnh Đắk Lắk","VN-33_C0","0","VN-33","VN","63000"
"res_city_103","Tỉnh An Giang","VN-44_C0","0","VN-44","VN","90000"
"res_city_104","Tỉnh Thanh Hóa","VN-21_C0","0","VN-21","VN","40000"
"res_city_105","Tỉnh Quảng Ngãi","VN-29_C0","0","VN-29","VN","53000"
"res_city_106","Tỉnh Tây Ninh","VN-37_C0","0","VN-37","VN","80000"
"res_city_107","Tỉnh Bắc Giang","VN-54_C0","0","VN-54","VN","26000"
"res_city_108","Thành phố Hồ Chí Minh","VN-SG_C0","0","VN-SG","VN","70000"
"res_city_109","Tỉnh Ninh Thuận","VN-36_C0","0","VN-36","VN","59000"
"res_city_110","Tỉnh Tuyên Quang","VN-07_C0","0","VN-07","VN","22000"
"res_city_111","Tỉnh Sơn La","VN-05_C0","0","VN-05","VN","34000"
"res_city_112","Tỉnh Nam Định","VN-67_C0","0","VN-67","VN","07000"
"res_city_113","Tỉnh Hà Nam","VN-63_C0","0","VN-63","VN","18000"
"res_city_114","Tỉnh Hải Dương","VN-61_C0","0","VN-61","VN","03000"
"res_city_115","Tỉnh Bà Rịa - Vũng Tàu","VN-43_C0","0","VN-43","VN","78000"
"res_city_116","Tỉnh Kiên Giang","VN-47_C0","0","VN-47","VN","91000"
"res_city_117","Tỉnh Cao Bằng","VN-04_C0","0","VN-04","VN","21000"
"res_city_118","Tỉnh Hà Tĩnh","VN-23_C0","0","VN-23","VN","45000"
"res_city_119","Tỉnh Gia Lai","VN-30_C0","0","VN-30","VN","61000"
"res_city_120","Tỉnh Hoà Bình","VN-14_C0","0","VN-14","VN","36000"
"res_city_121","Tỉnh Sóc Trăng","VN-52_C0","0","VN-52","VN","96000"
"res_city_122","Tỉnh Bình Định","VN-31_C0","0","VN-31","VN","55000"
"res_city_123","Tỉnh Thái Bình","VN-20_C0","0","VN-20","VN","06000"
"res_city_124","Tỉnh Phú Thọ","VN-68_C0","0","VN-68","VN","35000"
"res_city_125","Tỉnh Hậu Giang","VN-73_C0","0","VN-73","VN","95000"
"res_city_126","Thành phố Cần Thơ","VN-CT_C0","0","VN-CT","VN","94000"
"res_city_127","Tỉnh Quảng Ninh","VN-13_C0","0","VN-13","VN","01000"
"res_city_128","Tỉnh Quảng Trị","VN-25_C0","0","VN-25","VN","48000"
"res_city_129","Tỉnh Lào Cai","VN-02_C0","0","VN-02","VN","31000"
"res_city_130","Tỉnh Đắk Nông","VN-72_C0","0","VN-72","VN","65000"
"res_city_131","Tỉnh Bắc Ninh","VN-56_C0","0","VN-56","VN","16000"
"res_city_132","Tỉnh Lâm Đồng","VN-35_C0","0","VN-35","VN","66000"
